Timestamp,Namespace,PodName,ContainerName,LogEntry
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Starfield_Services_Root_Certificate_Authority_-_G2.pem -> 09789157.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link TeliaSonera_Root_CA_v1.pem -> 5cd81ad7.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link SZAFIR_ROOT_CA2.pem -> fe8a2cd8.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Amazon_Root_CA_2.pem -> 6d41d539.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GTS_Root_R1.pem -> 1001acf7.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Go_Daddy_Root_Certificate_Authority_-_G2.pem -> cbf06781.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link emSign_Root_CA_-_G1.pem -> 2923b3f9.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GlobalSign_Root_E46.pem -> feffd413.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link emSign_Root_CA_-_C1.pem -> 406c9bb1.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link COMODO_ECC_Certification_Authority.pem -> eed8c118.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Certum_EC-384_CA.pem -> 9482e63a.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link AffirmTrust_Premium_ECC.pem -> 9c8dfbd4.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link SecureTrust_CA.pem -> f39fc864.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Go_Daddy_Class_2_CA.pem -> f081611a.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Amazon_Root_CA_3.pem -> 8cb5ee0f.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Starfield_Root_Certificate_Authority_-_G2.pem -> 4bfab552.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link QuoVadis_Root_CA_3.pem -> 76faf6c0.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GDCA_TrustAUTH_R5_ROOT.pem -> 0f6fa695.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Entrust.net_Premium_2048_Secure_Server_CA.pem -> aee5f10d.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link DigiCert_Global_Root_G3.pem -> dd8e9d41.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Cybertrust_Global_Root.pem -> 76cb8f92.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link SSL.com_EV_Root_Certification_Authority_RSA_R2.pem -> 06dc52d5.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link DigiCert_Global_Root_G2.pem -> 607986c7.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link SSL.com_EV_Root_Certification_Authority_ECC.pem -> f0c70a8d.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GlobalSign_ECC_Root_CA_-_R5.pem -> 1d3472b9.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GlobalSign_Root_CA_-_R2.pem -> 4a6481c9.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Comodo_AAA_Services_root.pem -> ee64a828.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link UCA_Global_G2_Root.pem -> c01eb047.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Entrust_Root_Certification_Authority_-_G2.pem -> 02265526.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link USERTrust_ECC_Certification_Authority.pem -> f30dd6ad.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GTS_Root_R2.pem -> 626dceaf.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Certum_Trusted_Root_CA.pem -> e35234b1.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link XRamp_Global_CA_Root.pem -> 706f604c.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link AffirmTrust_Networking.pem -> 93bc0acc.0"
"26-05-2023 14:34:06.931",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GTS_Root_R4.pem -> a3418fda.0"
